Rank,Club,Country,Level,Elo,From,To
None,Nancy,FRA,2,1335.81152344,2026-04-15,2026-04-17
None,Reggiana,ITA,2,1333.90466309,2026-04-13,2026-04-19
None,Trnava,SLK,0,1333.72814941,2026-01-01,2026-05-12
None,Zilina,SLK,0,1333.45056152,2026-01-01,2026-05-12
None,Excelsior,NED,1,1333.02124023,2026-04-13,2026-04-26
None,Varazdin,CRO,1,1332.93457031,2026-04-13,2026-04-17
None,Koper,SVN,1,1331.1262207,2026-04-15,2026-04-18
None,LNZ,UKR,1,1330.27490234,2026-04-14,2026-04-18
None,Kayseri,TUR,1,1330.03759766,2026-04-12,2026-04-20
None,AVS Futebol,POR,1,1329.46179199,2026-04-16,2026-04-17
None,Sheffield Weds,ENG,2,1328.5012207,2026-04-16,2026-04-18
None,Olimpija Ljubljana,SVN,1,1327.05773926,2026-04-16,2026-05-12
None,Istra 1961,CRO,1,1325.72009277,2026-04-12,2026-04-18
None,Karvina,CZE,1,1325.66027832,2026-04-13,2026-04-18
None,Lok Zagreb,CRO,1,1325.18591309,2026-04-12,2026-04-17
None,Kosice,SLK,0,1324.39245605,2026-01-01,2026-05-12
None,Zuerich,SUI,1,1323.30871582,2026-04-12,2026-04-25
None,Panetolikos,GRE,1,1321.98144531,2026-04-10,2026-04-18
None,Eyupspor,TUR,1,1320.98669434,2026-04-14,2026-04-18
None,Zira,AZE,0,1319.08630371,2026-02-25,2026-05-12
None,Breda,NED,1,1318.70043945,2026-04-13,2026-04-25
None,Genclerbirligi,TUR,1,1316.72680664,2026-04-12,2026-04-18
None,Pardubice,CZE,1,1315.65222168,2026-04-13,2026-04-19
None,H Tel Aviv,ISR,1,1315.50244141,2026-04-12,2026-04-19
None,Osijek,CRO,1,1315.00439453,2026-04-13,2026-04-17
None,Metalist 1925,UKR,1,1314.8614502,2026-04-12,2026-04-18
None,Amiens,FRA,2,1314.43444824,2026-04-15,2026-04-17
None,Nakchivan,AZE,0,1313.20251465,2026-02-25,2026-05-12
None,Shamrock,IRL,0,1313.01428223,2026-01-01,2026-05-12
None,Heracles,NED,1,1312.3927002,2026-04-12,2026-04-26
None,Sabah,AZE,0,1311.19018555,2026-02-25,2026-05-12
None,Slovacko,CZE,1,1310.50085449,2026-04-12,2026-04-19
None,Nieciecza,POL,1,1307.95178223,2026-04-12,2026-04-19
None,Altach,AUT,1,1306.67785645,2026-04-12,2026-04-18
None,Arges Pitesti,ROM,1,1306.64868164,2026-03-14,2026-05-12
None,Viitorul,ROM,1,1306.3692627,2026-04-11,2026-04-20
None,Start,NOR,1,1306.31323242,2026-04-12,2026-04-19
None,Dundee United,SCO,1,1305.89892578,2026-04-12,2026-05-12
None,UTA Arad,ROM,1,1305.83410645,2026-04-12,2026-04-17
None,HNK Gorica,CRO,1,1304.50598145,2026-04-13,2026-04-17
None,Bohemians Praha,CZE,1,1304.1138916,2026-04-12,2026-04-18
None,Wattens,AUT,1,1301.65478516,2026-04-12,2026-04-18
None,GAK,AUT,1,1300.91149902,2026-04-12,2026-04-17
None,Fatih Karaguemruek,TUR,1,1300.3894043,2026-04-13,2026-04-18
None,Ried,AUT,1,1299.67138672,2026-04-12,2026-04-17
None,Sochi,RUS,1,1297.66760254,2026-03-15,2026-05-12
None,Tescoma Zlin,CZE,1,1296.62011719,2026-04-12,2026-04-18
None,Kryvbas,UKR,1,1296.59570312,2026-04-13,2026-04-19
None,Kuopio,FIN,0,1296.51391602,2026-02-27,2026-05-12
None,Slaven Belupo,CRO,1,1296.36889648,2026-04-13,2026-04-17
None,Otelul Galati,ROM,1,1295.4440918,2026-04-12,2026-04-17
None,Kairat,KAZ,0,1294.38879395,2026-01-29,2026-05-12
None,Noah,ARM,0,1294.14245605,2026-02-27,2026-05-12
None,NFC Volos,GRE,1,1293.91662598,2026-04-10,2026-04-18
None,Novi Sad,SRB,1,1293.73632812,2026-04-09,2026-04-18
None,Aalesund,NOR,1,1292.34033203,2026-04-13,2026-04-18
None,Cherno More,BUL,1,1291.26806641,2026-04-16,2026-05-12
None,Brommapojkarna,SWE,1,1291.06005859,2026-04-14,2026-04-18
None,Pyunik,ARM,0,1286.7109375,2026-02-27,2026-05-12
None,Karpaty,UKR,1,1285.62719727,2026-04-12,2026-04-19
None,Falkirk,SCO,1,1285.19445801,2026-04-13,2026-05-12
None,Vikingur,ISL,0,1285.12316895,2026-01-01,2026-05-12
None,Grasshoppers,SUI,1,1284.73742676,2026-04-12,2026-04-25
None,Halmstad,SWE,1,1284.07617188,2026-04-13,2026-04-18
None,Botosani,ROM,1,1283.59924316,2026-04-12,2026-04-20
None,FK Riga,LAT,0,1283.32727051,2026-01-01,2026-05-12
None,Asteras Tripolis,GRE,1,1283.30383301,2026-04-10,2026-04-18
None,Zrinjski Mostar,BHZ,0,1283.0456543,2026-02-27,2026-05-12
None,Vaduz,LIE,0,1280.60302734,2026-02-27,2026-05-12
None,Nyiregyhaza,HUN,1,1279.70910645,2026-04-12,2026-04-17
None,Kolos,UKR,1,1279.1842041,2026-04-11,2026-04-18
None,St Patricks,IRL,0,1278.34521484,2026-01-01,2026-05-12
None,Kisvarda,HUN,1,1277.99389648,2026-04-14,2026-04-18
None,Kifisias,GRE,1,1277.16125488,2026-04-10,2026-04-18
None,CSKA 1948 Sofia,BUL,1,1275.86535645,2026-04-16,2026-05-12
None,Ujpest,HUN,1,1272.35095215,2026-04-12,2026-04-17
None,St Mirren,SCO,1,1268.54321289,2026-04-12,2026-05-12
None,Aarau,SUI,1,1267.46691895,2026-02-27,2026-05-12
None,Arda,BUL,1,1266.4239502,2026-04-16,2026-05-12
None,Aberdeen,SCO,1,1265.36364746,2026-04-12,2026-05-12
None,Petrolul Ploiesti,ROM,1,1265.1550293,2026-04-13,2026-04-19
None,Netanya,ISR,1,1264.02734375,2026-04-12,2026-04-18
None,Bravo,SVN,1,1263.74133301,2026-04-16,2026-04-19
None,Dundee,SCO,1,1263.6619873,2026-04-12,2026-05-12
None,MTK,HUN,1,1261.98364258,2026-04-12,2026-04-18
None,Zorya,UKR,1,1261.23059082,2026-04-13,2026-04-17
None,Dukla,CZE,1,1256.69848633,2026-04-13,2026-04-18
None,Vaesteras,SWE,1,1256.04211426,2026-04-12,2026-04-18
None,Kilmarnock,SCO,1,1252.33337402,2026-04-12,2026-05-12
None,Oergryte,SWE,1,1251.04174805,2026-04-12,2026-04-18
None,Degerfors,SWE,1,1249.2923584,2026-04-13,2026-04-17
None,BW Linz,AUT,1,1248.80358887,2026-04-12,2026-04-18
None,Winterthur,SUI,1,1248.19543457,2026-04-12,2026-05-12
None,HJK Helsinki,FIN,0,1246.64978027,2026-02-27,2026-05-12
None,Ararat,ARM,0,1246.33862305,2026-02-27,2026-05-12
None,Hapoel Jerusalem,ISR,1,1244.61853027,2026-04-13,2026-04-19
None,Larisa,GRE,1,1244.19519043,2026-04-10,2026-04-18
None,Diosgyori,HUN,1,1244.00708008,2026-04-11,2026-04-18
None,H Petach Tikva,ISR,1,1243.70812988,2026-04-12,2026-04-18
None,Aktobe,KAZ,0,1243.37133789,2026-01-29,2026-05-12
None,Drita,KOS,0,1242.50085449,2026-02-27,2026-05-12
None,Panserraikos,GRE,1,1242.37133789,2026-04-10,2026-04-18
None,Csikszereda,ROM,1,1242.19567871,2026-04-14,2026-04-18
None,Hapoel Haifa,ISR,1,1242.1237793,2026-04-12,2026-04-18
None,Hermannstadt,ROM,1,1241.62963867,2026-04-11,2026-04-19
None,Shelbourne,IRL,0,1240.87072754,2026-01-01,2026-05-12
None,Bnei Sakhinin,ISR,1,1239.03686523,2026-04-12,2026-04-18
None,Kalmar,SWE,1,1238.0390625,2026-04-13,2026-04-19
None,Zeleznicar Pancevo,SRB,1,1234.71728516,2026-04-09,2026-04-18
None,Derry City,IRL,0,1233.97888184,2026-01-01,2026-05-12
None,Breidablik,ISL,0,1231.23120117,2026-01-01,2026-05-12
None,Novi Pazar,SRB,1,1228.76159668,2026-04-10,2026-04-18
None,Shkendija,MAC,0,1226.55493164,2026-02-27,2026-05-12
None,RFS,LAT,0,1221.79467773,2026-01-01,2026-05-12
None,Olexandriya,UKR,1,1220.83007812,2026-04-12,2026-04-20
None,Veres,UKR,1,1218.32714844,2026-04-12,2026-04-20
None,Slavia Sofia,BUL,1,1217.88037109,2026-04-17,2026-05-12
None,Zeljeznicar,BHZ,0,1217.75280762,2026-02-27,2026-05-12
None,Lok Plovdiv,BUL,1,1215.64025879,2026-04-14,2026-05-12
None,Rukh Lviv,UKR,1,1212.57800293,2026-04-11,2026-04-19
None,Valur,ISL,0,1211.37255859,2026-01-01,2026-05-12
None,FK Sarajevo,BHZ,0,1211.23156738,2026-02-27,2026-05-12
None,Borac Banja Luka,BHZ,0,1210.83239746,2026-02-27,2026-05-12
None,Botev Plovdiv,BUL,1,1207.78710938,2026-04-15,2026-05-12
None,Ilves Tampere,FIN,0,1205.37280273,2026-02-27,2026-05-12
None,Unirea Slobozia,ROM,1,1204.96984863,2026-04-13,2026-04-18
None,Dinamo Minsk,BLR,0,1202.69592285,2026-01-01,2026-05-12
None,Ordabasy,KAZ,0,1202.21813965,2026-01-29,2026-05-12
None,Obolon Kyiv,UKR,1,1199.92858887,2026-04-12,2026-04-17
None,Ironi Tiberias,ISR,1,1199.63562012,2026-04-12,2026-04-18
None,Akureyri,ISL,0,1199.48815918,2026-01-01,2026-05-12
None,Cukaricki,SRB,1,1198.40136719,2026-04-10,2026-04-18
None,Kiryat Shmona,ISR,1,1195.73742676,2026-04-13,2026-04-19
None,Lok Sofia,BUL,1,1194.59875488,2026-04-15,2026-05-12
None,Radomlje,SVN,1,1192.72741699,2026-04-12,2026-04-18
None,Klaksvik,FAR,0,1189.47143555,2026-01-01,2026-05-12
None,Ballkani,KOS,0,1185.13781738,2026-02-27,2026-05-12
None,Ashdod,ISR,1,1184.84667969,2026-04-12,2026-04-18
None,Kazincbarcika,HUN,1,1184.09716797,2026-04-12,2026-04-18
None,Dinamo Tirana,ALB,0,1183.72375488,2026-01-01,2026-05-12
None,Seinajoki,FIN,0,1183.17419434,2026-02-27,2026-05-12
None,Kragujevac,SRB,1,1183.11962891,2026-04-10,2026-04-19
None,OFK,SRB,1,1181.86132812,2026-04-10,2026-04-18
None,Backa Topola,SRB,1,1180.64196777,2026-04-09,2026-04-19
None,Banants,ARM,0,1179.43408203,2026-02-27,2026-05-12
None,Auda,LAT,0,1179.07116699,2026-01-01,2026-05-12
None,Neman Grodno,BLR,0,1179.02661133,2026-01-01,2026-05-12
None,Daugavpils,LAT,0,1171.93493652,2026-01-01,2026-05-12
None,Episentr,UKR,1,1168.31286621,2026-04-13,2026-04-19
None,Zalgiris Vilnius,LIT,0,1167.50354004,2026-01-01,2026-05-12
None,Torpedo Kutaisi,GEO,0,1159.65441895,2026-01-01,2026-05-12
None,Botev Vratsa,BUL,1,1159.52758789,2026-04-15,2026-05-12
None,Petrocub,MOL,0,1159.45910645,2026-01-01,2026-05-12
None,Livingston,SCO,1,1158.9654541,2026-04-12,2026-05-12
None,Partizani Tirana,ALB,0,1158.83312988,2026-01-01,2026-05-12
None,Egnatia,ALB,0,1157.89318848,2026-01-01,2026-05-12
None,Mura,SVN,1,1157.72509766,2026-04-17,2026-04-19
None,IMT,SRB,1,1155.30126953,2026-04-09,2026-04-19
None,FC Spaeri,GEO,0,1150.32836914,2026-01-01,2026-05-12
None,Dila Gori,GEO,0,1149.45703125,2026-01-01,2026-05-12
None,Saburtalo,GEO,0,1149.44433594,2026-01-01,2026-05-12
None,Metaloglobus,ROM,1,1149.04150391,2026-04-14,2026-04-20
None,Vllaznia,ALB,0,1145.86279297,2026-01-01,2026-05-12
None,Radnik Surdulica,SRB,1,1142.07946777,2026-04-10,2026-04-18
None,Kudrivka,UKR,1,1141.66296387,2026-04-13,2026-04-18
None,Aluminij,SVN,1,1140.83886719,2026-04-17,2026-04-19
None,Primorje,SVN,1,1133.64685059,2026-04-16,2026-04-18
None,Kauno Zalgiris,LIT,0,1131.27331543,2026-01-01,2026-05-12
None,Flora Tallinn,EST,0,1130.34924316,2026-01-01,2026-05-12
None,Vukovar,CRO,1,1129.92480469,2026-04-14,2026-04-18
None,Levski Krumovgrad,BUL,1,1127.7421875,2026-02-27,2026-05-12
None,Dinamo Brest,BLR,0,1124.85290527,2026-01-01,2026-05-12
None,Zimbru,MOL,0,1121.74816895,2026-01-01,2026-05-12
None,Maccabi Bnei Raina,ISR,1,1119.54223633,2026-04-12,2026-04-18
None,Mladost Lucani,SRB,1,1119.34863281,2026-04-09,2026-04-19
None,Nis,SRB,1,1118.82897949,2026-04-09,2026-04-19
None,Hamrun,MLT,0,1116.77966309,2026-01-01,2026-05-12
None,Domzale,SVN,1,1115.6730957,2026-03-20,2026-05-12
None,Linfield,NIR,0,1112.89941406,2026-01-01,2026-05-12
None,Banga,LIT,0,1112.11181641,2026-01-01,2026-05-12
None,Torpedo Zhodino,BLR,0,1109.97851562,2026-01-01,2026-05-12
None,Ivanjica,SRB,1,1109.70727539,2026-04-09,2026-04-19
None,Milsami Orhei,MOL,0,1106.4597168,2026-01-01,2026-05-12
None,Beroe Stara Zagora,BUL,1,1106.36950684,2026-04-14,2026-05-12
None,Hegelmann,LIT,0,1105.8293457,2026-01-01,2026-05-12
None,Spartak Varna,BUL,1,1101.87072754,2026-04-17,2026-05-12
None,Vardar,MAC,0,1099.73193359,2026-02-27,2026-05-12
None,Decic,MNT,0,1098.27709961,2026-01-01,2026-05-12
None,Sileks,MAC,0,1091.06091309,2026-02-27,2026-05-12
None,Dobrudzha,BUL,1,1087.59558105,2026-04-15,2026-05-12
None,Septemvri Sofia,BUL,1,1082.59216309,2026-04-17,2026-05-12
None,Paide Linnameeskond,EST,0,1082.51757812,2026-01-01,2026-05-12
None,Sutjeska,MNT,0,1082.15710449,2026-01-01,2026-05-12
None,Rabotnicki,MAC,0,1081.38427734,2026-02-27,2026-05-12
None,Prishtine,KOS,0,1080.05285645,2026-02-27,2026-05-12
None,Zlatibor,SRB,1,1072.97546387,2026-04-10,2026-04-19
None,SK Poltava,UKR,1,1069.39331055,2026-04-11,2026-04-17
None,Nomme Kalju,EST,0,1067.46813965,2026-01-01,2026-05-12
None,The New Saints,WAL,0,1066.42773438,2026-01-01,2026-05-12
None,Lincoln,GIB,0,1065.0925293,2026-01-01,2026-05-12
None,Differdang,LUX,0,1064.40576172,2026-01-01,2026-05-12
None,Floriana,MLT,0,1063.39428711,2026-01-01,2026-05-12
None,Larne,NIR,0,1059.32751465,2026-01-01,2026-05-12
None,R Letzebuerg,LUX,0,1055.80249023,2026-01-01,2026-05-12
None,Hibernians Paola,MLT,0,1055.26086426,2026-01-01,2026-05-12
None,Blagoevgrad,BUL,1,1053.63269043,2026-02-27,2026-05-12
None,Malisheva,KOS,0,1053.15783691,2026-02-27,2026-05-12
None,Dungannon,NIR,0,1052.24328613,2026-01-01,2026-05-12
None,Birkirkara,MLT,0,1050.81774902,2026-01-01,2026-05-12
None,FC Infonet,EST,0,1050.10693359,2026-01-01,2026-05-12
None,HB Torshavn,FAR,0,1050.02612305,2026-01-01,2026-05-12
None,Una Strassen,LUX,0,1047.8717041,2026-01-01,2026-05-12
None,Runavik,FAR,0,1039.27258301,2026-01-01,2026-05-12
None,Hebar,BUL,1,1036.60644531,2026-02-27,2026-05-12
None,Dudelange,LUX,0,1035.68383789,2026-01-01,2026-05-12
None,Podgorica,MNT,0,1034.60522461,2026-01-01,2026-05-12
None,Gota,FAR,0,1033.25927734,2026-01-01,2026-05-12
None,Cliftonville,NIR,0,1032.94494629,2026-01-01,2026-05-12
None,Montana 1921,BUL,1,1028.23803711,2026-04-17,2026-05-12
None,Krusevac,SRB,1,1016.62011719,2026-04-09,2026-04-19
None,Escaldes,AND,0,1002.06817627,2026-01-01,2026-05-12
None,Penybont,WAL,0,988.081848145,2026-01-01,2026-05-12
None,Haverfordwest,WAL,0,985.360229492,2026-01-01,2026-05-12
None,St Josephs,GIB,0,968.097106934,2026-01-01,2026-05-12
None,Santa Coloma,AND,0,954.305236816,2026-01-01,2026-05-12
None,Atletic Club Escaldes,AND,0,944.222595215,2026-01-01,2026-05-12
None,FCB Magpies,GIB,0,935.020629883,2026-01-01,2026-05-12
None,SS Virtus,SMR,0,767.627746582,2026-01-01,2026-05-12
None,Tre Fiori,SMR,0,736.193237305,2026-01-01,2026-05-12
None,La Fiorita,SMR,0,716.190124512,2026-01-01,2026-05-12


